commodity,year,sum(value)
"COFFEE, TEA, MATE AND SPICES.",2012,2742.69
"COFFEE, TEA, MATE AND SPICES.",2013,2746.36
"COFFEE, TEA, MATE AND SPICES.",2014,2871.55
"COFFEE, TEA, MATE AND SPICES.",2015,2954.63
"COFFEE, TEA, MATE AND SPICES.",2016,3184.94
"COFFEE, TEA, MATE AND SPICES.",2017,3310.16
"COFFEE, TEA, MATE AND SPICES.",2018,3199.31
COPPER AND ARTICLES THEREOF.,2010,3120.57
COPPER AND ARTICLES THEREOF.,2011,2850.0
COPPER AND ARTICLES THEREOF.,2012,2894.7
COPPER AND ARTICLES THEREOF.,2013,2783.4
COPPER AND ARTICLES THEREOF.,2014,3360.76
COPPER AND ARTICLES THEREOF.,2015,2477.27
COPPER AND ARTICLES THEREOF.,2016,2619.88
COPPER AND ARTICLES THEREOF.,2017,3418.54
COPPER AND ARTICLES THEREOF.,2018,999.42
CORK AND ARTICLES OF CORK.,2010,2.6
CORK AND ARTICLES OF CORK.,2011,2.94
CORK AND ARTICLES OF CORK.,2012,2.33
CORK AND ARTICLES OF CORK.,2013,2.19
CORK AND ARTICLES OF CORK.,2014,2.01
CORK AND ARTICLES OF CORK.,2015,1.99
CORK AND ARTICLES OF CORK.,2016,2.34
CORK AND ARTICLES OF CORK.,2017,2.8
CORK AND ARTICLES OF CORK.,2018,3.71
COTTON.,2010,6925.86
COTTON.,2011,8921.72
COTTON.,2012,8936.67999999999
COTTON.,2013,9926.09
COTTON.,2014,7717.63
COTTON.,2015,7312.84
COTTON.,2016,6610.62
COTTON.,2017,7044.88000000001
COTTON.,2018,7887.95
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2010,248.68
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2011,208.62
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2012,409.96
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2013,705.05
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2014,378.98
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2015,328.46
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2016,292.87
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2017,366.53
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2018,538.59
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2010,1137.55
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2011,1516.14
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2012,1412.28
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2013,1623.21
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2014,1610.64
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2015,1584.58
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2016,1731.07
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2017,1856.95
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2018,1617.28
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2010,897.52
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2011,1008.29
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2012,1037.26
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2013,1355.98
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2014,1180.74
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2015,1261.33
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2016,1294.62
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2017,1305.47
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2018,1301.64
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2010,10143.95
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2011,11527.13
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2012,10861.68
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2013,10297.5
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2014,8695.71000000001
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2015,8012.96
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2016,8230.98
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2017,9323.3
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2018,12726.63
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2010,970.54
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2011,1279.72
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2012,1529.55
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2013,1459.01
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2014,1460.34
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2015,1484.55
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2016,1578.77
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2017,1871.42
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2018,2066.03
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2010,76.04
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2011,76.51
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2012,89.72
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2013,93.03
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2014,84.69
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2015,81.96
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2016,101.78
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2017,110.86
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2018,120.64
FERTILISERS.,2010,52.0
FERTILISERS.,2011,82.76
FERTILISERS.,2012,88.13
FERTILISERS.,2013,81.64
FERTILISERS.,2014,90.21
FERTILISERS.,2015,102.44
FERTILISERS.,2016,69.33
FERTILISERS.,2017,106.33
FERTILISERS.,2018,147.92
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2010,2320.94
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2011,3286.27
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2012,3322.65
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2013,4822.93
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2014,5249.45
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2015,4486.23
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2016,5500.97
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2017,6850.79
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2018,6256.82
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2010,1757.27
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2011,2086.82
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2012,2063.27
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2013,2546.99
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2014,2948.02
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2015,2741.5
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2016,2764.97
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2017,2826.88
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2018,2907.8
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2010,805.15
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2011,903.83
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2012,974.21
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2013,1095.28
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2014,1175.63
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2015,1264.92
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2016,1311.52
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2017,1496.26
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2018,1709.97
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2010,0.16
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2011,1.63
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2012,0.24
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2013,0.88
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2014,2.32
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2015,4.98
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2016,11.77
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2017,11.91
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2018,12.93
GLASS AND GLASSWARE.,2010,406.17
GLASS AND GLASSWARE.,2011,534.28
GLASS AND GLASSWARE.,2012,588.16
GLASS AND GLASSWARE.,2013,638.77
GLASS AND GLASSWARE.,2014,701.65
GLASS AND GLASSWARE.,2015,703.6
GLASS AND GLASSWARE.,2016,654.82
GLASS AND GLASSWARE.,2017,719.26
