Commodity,year,sum(value)
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2010,67.03
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2011,86.87
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2012,70.72
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2013,75.77
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2014,86.67
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2015,99.1
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2016,85.61
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2017,113.03
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2018,121.73
CERAMIC PRODUCTS.,2010,578.84
CERAMIC PRODUCTS.,2011,819.65
CERAMIC PRODUCTS.,2012,707.07
CERAMIC PRODUCTS.,2013,617.53
CERAMIC PRODUCTS.,2014,762.78
CERAMIC PRODUCTS.,2015,728.309999999999
CERAMIC PRODUCTS.,2016,466.16
CERAMIC PRODUCTS.,2017,601.06
CERAMIC PRODUCTS.,2018,597.6
CEREALS.,2010,68.79
CEREALS.,2011,7.61
CEREALS.,2012,22.05
CEREALS.,2013,22.07
CEREALS.,2014,22.15
CEREALS.,2015,329.64
CEREALS.,2016,1343.26
CEREALS.,2017,434.12
CEREALS.,2018,73.43
CLOCKS AND WATCHES AND PARTS THEREOF.,2010,212.65
CLOCKS AND WATCHES AND PARTS THEREOF.,2011,278.98
CLOCKS AND WATCHES AND PARTS THEREOF.,2012,298.17
CLOCKS AND WATCHES AND PARTS THEREOF.,2013,300.68
CLOCKS AND WATCHES AND PARTS THEREOF.,2014,311.08
CLOCKS AND WATCHES AND PARTS THEREOF.,2015,291.39
CLOCKS AND WATCHES AND PARTS THEREOF.,2016,270.72
CLOCKS AND WATCHES AND PARTS THEREOF.,2017,332.87
CLOCKS AND WATCHES AND PARTS THEREOF.,2018,380.61
COCOA AND COCOA PREPARATIONS.,2010,128.5
COCOA AND COCOA PREPARATIONS.,2011,194.78
COCOA AND COCOA PREPARATIONS.,2012,192.76
COCOA AND COCOA PREPARATIONS.,2013,176.89
COCOA AND COCOA PREPARATIONS.,2014,253.55
COCOA AND COCOA PREPARATIONS.,2015,219.17
COCOA AND COCOA PREPARATIONS.,2016,229.64
COCOA AND COCOA PREPARATIONS.,2017,228.52
COCOA AND COCOA PREPARATIONS.,2018,263.14
"COFFEE, TEA, MATE AND SPICES.",2010,310.96
"COFFEE, TEA, MATE AND SPICES.",2011,446.21
"COFFEE, TEA, MATE AND SPICES.",2012,541.23
"COFFEE, TEA, MATE AND SPICES.",2013,528.22
"COFFEE, TEA, MATE AND SPICES.",2014,729.4
"COFFEE, TEA, MATE AND SPICES.",2015,802.41
